Investment James,Butt 149236 53209.73 Growth
Investment Devorah,Chickering 147849 5598.43 Shares
Investment Timothy,Mulqueen 935475 4799.30 Growth
Savings Arlette,Honeywell 391681 9251.87 0.26
Savings Dominque,Dickerson 684336 2513.41 9.80
Savings Lettie,Isenhower 321737 19148.23 11.56
Savings Myra,Munns 386793 38992.34 7.92
Checking Stephaine,Barfield 192188 6040.68
Savings Lai,Gato 214171 20231.42 6.14
Savings Stephen,Emigh 768621 54540.99 4.87
Savings Tyra,Shields 212755 12882.16 11.82
Savings Tammara,Wardrip 988331 48130.17 1.12
Savings Cory,Gibes 916125 20923.90 10.21
Savings Danica,Bruschke 768278 24152.21 7.06
Savings Wilda,Giguere 867847 279.84 9.83
Investment Elvera,Benimadho 856978 59352.90 Shares
Checking Carma,Vanheusen 348615 13286.37
Investment Malinda,Hochard 787444 78505.42 Shares
Investment Natalie,Fern 129456 92868.46 Growth
Investment Lisha,Centini 742689 68694.45 Shares
Checking Arlene,Klusman 426972 89672.08
Investment Alease,Buemi 913827 53275.92 Property
Savings Louisa,Cronauer 213744 43084.42 10.65
Savings Angella,Cetta 323697 58420.61 6.62
Investment Cyndy,Goldammer 816364 45938.31 Property
Investment Rosio,Cork 516214 22858.60 Shares
Checking Celeste,Korando 923242 42716.10
Savings Twana,Felger 616957 28097.50 8.08
Investment Estrella,Samu 385297 57739.28 Shares
Investment Donte,Kines 425668 53107.79 Shares
Checking Tiffiny,Steffensmeier 247225 55112.52
Savings Edna,Miceli 579685 73684.93 1.98
Investment Sue,Kownacki 296422 256.37 Shares
Investment Jesusa,Shin 974465 5251.45 Property
Savings Rolland,Francescon 138342 10818.33 2.90
Savings Pamella,Schmierer 222754 59257.96 2.74
Investment Glory,Kulzer 687119 43288.21 Growth
Checking Shawna,Palaspas 577247 82708.95
Checking Brandon,Callaro 874738 62621.39
Savings Scarlet,Cartan 758449 93412.09 8.78
Savings Oretha,Menter 234371 81608.56 1.76
Savings Ty,Smith 287125 21953.86 1.39
Checking Xuan,Rochin 932149 38583.62
Investment Lindsey,Dilello 941236 73685.25 Property
Savings Devora,Perez 177678 61293.36 7.40
Checking Herman,Demesa 139663 38638.32
Checking Rory,Papasergi 315833 3815.06
Investment Talia,Riopelle 546983 39354.73 Property
Savings Van,Shire 867547 43898.06 4.16
Checking Lucina,Lary 356569 94605.33
Investment Bok,Isaacs 479981 83621.47 Property
Checking Rolande,Spickerman 377948 60328.49
Savings Howard,Paulas 922252 12590.54 8.68
Checking Kimbery,Madarang 216369 99900.04
Savings Thurman,Manno 158718 75223.95 3.36
Savings Becky,Mirafuentes 364745 77708.36 2.54
Savings Beatriz,Corrington 857871 44753.97 7.71
Savings Marti,Maybury 717233 83941.99 6.50
Savings Nieves,Gotter 462819 63391.28 9.61
Checking Leatha,Hagele 913276 50367.06
Checking Valentin,Klimek 388666 22016.14
Checking Melissa,Wiklund 445232 74552.73
Checking Sheridan,Zane 282934 59056.85
Savings Bulah,Padilla 149153 61822.09 5.09
Checking Audra,Kohnert 816861 80230.28
Savings Daren,Weirather 327464 31321.47 2.55
Savings Fernanda,Jillson 322784 42496.03 4.84
Checking Gearldine,Gellinger 643315 52416.64
Checking Chau,Kitzman 885988 42320.72
Savings Theola,Frey 253183 3583.10 4.03
Savings Cheryl,Haroldson 963892 28570.86 11.48
Investment Laticia,Merced 315225 59978.89 Property
Investment Carissa,Batman 712872 26488.10 Property
Checking Lezlie,Craghead 244958 57875.64
Checking Ozell,Shealy 684891 47531.65
Investment Arminda,Parvis 936481 69426.30 Shares
Savings Reita,Leto 215574 91814.96 4.66
Investment Yolando,Luczki 213773 58378.39 Growth
Investment Lizette,Stem 641372 88302.68 Shares
Investment Gregoria,Pawlowicz 331374 55447.04 Shares
Savings Carin,Deleo 644386 82655.09 5.59
Checking Chantell,Maynerich 343228 87322.93
Savings Dierdre,Yum 496198 96370.01 4.74
Checking Larae,Gudroe 193711 40634.49
Checking Latrice,Tolfree 723618 69649.52
Checking Kerry,Theodorov 564956 92403.86
Savings Dorthy,Hidvegi 517257 62487.59 4.77
Savings Fannie,Lungren 786575 28570.54 3.00
Investment Evangelina,Radde 986651 85658.64 Property
Savings Novella,Degroot 761471 62721.54 2.92
Savings Clay,Hoa 292454 35430.44 3.94
Savings Jennifer,Fallick 271439 7772.26 10.09
Checking Irma,Wolfgramm 444463 21990.12
Checking Eun,Coody 975685 92227.43
Investment Sylvia,Cousey 818616 97280.15 Growth
Savings Nana,Wrinkles 548867 42672.32 3.25
Investment Layla,Springe 442571 97091.37 Shares
Checking Joesph,Degonia 334511 41968.95
Investment Annabelle,Boord 833122 40196.48 Shares
Investment Stephaine,Vinning 913591 21319.98 Shares
Checking Nelida,Sawchuk 928591 59467.71
Savings Marguerita,Hiatt 586848 991.15 8.38
Checking Carmela,Cookey 977966 28202.39
Savings Junita,Brideau 415713 56555.57 2.44
Savings Claribel,Varriano 145911 59877.94 1.44
Savings Benton,Skursky 769253 72349.75 4.84
Investment Hillary,Skulski 249411 91129.01 Growth
Checking Merilyn,Bayless 213147 68319.35
Checking Teri,Ennaco 919194 64200.00
Savings Merlyn,Lawler 228179 7989.81 11.75
Investment Georgene,Montezuma 636636 26122.94 Growth
Checking Jettie,Mconnell 178574 37268.50
Checking Lemuel,Latzke 463647 21689.59
Savings Melodie,Knipp 467132 11652.50 1.67
Savings Candida,Corbley 653544 98990.88 4.48
Investment Karan,Karpin 973689 27161.08 Growth
Savings Andra,Scheyer 916347 74289.00 11.65
Investment Felicidad,Poullion 635444 30794.67 Growth
Savings Belen,Strassner 326471 255.87 0.40
Checking Gracia,Melnyk 865543 44332.34
Investment Jolanda,Hanafan 595757 72750.07 Growth
Savings Barrett,Toyama 933691 48769.65 9.14
Checking Helga,Fredicks 594131 47628.82
Checking Ashlyn,Pinilla 269834 30147.68
Checking Fausto,Agramonte 317762 25657.34
Savings Ronny,Caiafa 412625 36624.29 11.36
Investment Marge,Limmel 631229 72160.68 Growth
Investment Norah,Waymire 727236 80747.04 Shares
Checking Aliza,Baltimore 143156 59179.32
Savings Mozell,Pelkowski 812391 96400.23 10.56
Savings Viola,Bitsuie 944534 65448.88 1.30
Savings Franklyn,Emard 375477 83768.41 10.86
Savings Willodean,Konopacki 738286 150.02 1.39
Checking Beckie,Silvestrini 733318 62631.51
Savings Rebecka,Gesick 565911 48255.39 4.02
Checking Frederica,Blunk 796186 97160.68
Savings Glen,Bartolet 973786 9616.39 11.50
Investment Freeman,Gochal 671597 65771.04 Shares
Checking Vincent,Meinerding 327597 72889.23
Savings Rima,Bevelacqua 345474 86777.78 9.05
Savings Glendora,Sarbacher 594174 86336.83 6.99
Investment Avery,Steier 644442 59791.95 Growth
Savings Cristy,Lother 732997 63053.27 8.70
Checking Nicolette,Brossart 665371 52645.98
Investment Tracey,Modzelewski 317887 58625.30 Growth
Savings Virgina,Tegarden 854768 38147.46 11.30
Checking Tiera,Frankel 423545 46722.01
Checking Alaine,Bergesen 747687 98489.62
Savings Earleen,Mai 175873 56900.63 10.54
Investment Leonida,Gobern 635116 95633.17 Shares
Investment Ressie,Auffrey 667244 95821.54 Growth
Checking Justine,Mugnolo 948646 47584.38
Investment Eladia,Saulter 854525 79894.99 Shares
Checking Chaya,Malvin 274982 79788.45
Savings Gwenn,Suffield 921387 3370.06 7.87
Checking Salena,Karpel 631649 68839.42
Checking Yoko,Fishburne 183294 76816.62
Checking Taryn,Moyd 545341 52676.20
Savings Katina,Polidori 892244 94609.25 11.72
Savings Rickie,Plumer 948465 71413.06 6.15
Investment Alex,Loader 474893 30018.35 Property
Savings Lashon,Vizarro 614535 95392.07 1.66
Savings Lauran,Burnard 723395 134.96 4.70
Savings Ceola,Setter 929568 97778.85 6.91
Investment My,Rantanen 774696 69654.38 Property
Savings Lorrine,Worlds 492787 11539.67 0.45
Checking Peggie,Sturiale 134218 85906.88
Savings Marvel,Raymo 282498 38318.18 1.83
Savings Daron,Dinos 537767 72077.21 11.56
Investment An,Fritz 959823 82526.16 Shares
Investment Portia,Stimmel 611675 54091.46 Property
Investment Rhea,Aredondo 273832 51554.57 Shares
Investment Benedict,Sama 936586 61666.91 Growth
Investment Alyce,Arias 656779 58296.49 Property
Investment Heike,Berganza 894484 63766.20 Property
Checking Carey,Dopico 851227 47931.41
Investment Dottie,Hellickson 623446 13743.83 Shares
Savings Deandrea,Hughey 229712 66022.56 10.84
Checking Kimberlie,Duenas 473675 85362.75
Checking Martina,Staback 993523 84225.16
Savings Skye,Fillingim 338397 20943.62 6.23
Checking Jade,Farrar 338682 21327.18
Savings Charlene,Hamilton 589728 55158.03 10.83
Investment Geoffrey,Acey 727859 42494.46 Shares
Investment Stevie,Westerbeck 484115 80851.15 Property
Checking Pamella,Fortino 734449 19768.55
Savings Harrison,Haufler 814381 64069.35 5.58
Checking Johnna,Engelberg 415254 303.57
Checking Buddy,Cloney 414194 91375.06
Investment Dalene,Riden 876954 61823.68 Growth
Checking Jerry,Zurcher 493832 99372.68
Savings Haydee,Denooyer 917686 77769.99 9.17
Investment Joseph,Cryer 892628 79789.62 Growth
Checking Deonna,Kippley 854612 1884.10
Checking Raymon,Calvaresi 472124 612.06
Investment Alecia,Bubash 315571 49036.46 Property
Checking Ma,Layous 266634 81536.93
Savings Detra,Coyier 633427 170.19 8.28
Checking Terrilyn,Rodeigues 795351 6068.44
Checking Salome,Lacovara 173462 44462.59
Checking Garry,Keetch 319238 97820.36
Investment Matthew,Neither 974547 50435.96 Property
Investment Theodora,Restrepo 531594 84922.69 Growth
Savings Noah,Kalafatis 659174 55649.98 4.19
Investment Carmen,Sweigard 729616 21546.30 Growth
Investment Lavonda,Hengel 332194 67523.96 Shares
Checking Junita,Stoltzman 671976 98722.07
Savings Herminia,Nicolozakes 345466 60332.33 9.95
Savings Casie,Good 258531 14108.65 9.75
Checking Reena,Maisto 215657 10843.51
Checking Mirta,Mallett 864282 6986.58
Savings Cathrine,Pontoriero 299286 81533.75 6.46
Savings Filiberto,Tawil 478977 83140.85 10.43
Investment Raul,Upthegrove 339886 42112.61 Shares
Checking Sarah,Candlish 472164 57535.84
Investment Lucy,Treston 123217 10383.97 Growth
Savings Judy,Aquas 731588 87195.83 1.74
Investment Yvonne,Tjepkema 985489 26471.54 Growth
Investment Kayleigh,Lace 386397 92092.81 Growth
Investment Felix,Hirpara 258656 6121.06 Growth
Savings Tresa,Sweely 156432 84981.69 4.06
Savings Kristeen,Turinetti 935142 4448.43 5.17
Checking Jenelle,Regusters 181634 63776.79
Investment Renea,Monterrubio 849526 35888.60 Property
Investment Olive,Matuszak 457827 58289.50 Shares
Investment Ligia,Reiber 437571 24159.59 Shares
Checking Christiane,Eschberger 624453 41988.62
Savings Goldie,Schirpke 854412 28400.44 11.65
Savings Loreta,Timenez 823442 45754.73 9.38
Savings Fabiola,Hauenstein 282118 80005.79 7.26
Investment Amie,Perigo 512699 25201.17 Shares
Savings Raina,Brachle 761925 83552.19 6.66
Savings Erinn,Canlas 784749 87735.22 9.53
Investment Cherry,Lietz 752565 76114.43 Shares
Savings Kattie,Vonasek 179519 66264.42 4.38
Checking Lilli,Scriven 396757 20795.77
Savings Whitley,Tomasulo 725189 46602.46 0.23
Checking Barbra,Adkin 662877 89525.28
Savings Hermila,Thyberg 189626 93615.24 8.44
Checking Jesusita,Flister 178838 81526.72
Checking Caitlin,Julia 843874 85416.78
Savings Roosevelt,Hoffis 163753 14712.29 9.56
Savings Helaine,Halter 517193 15018.76 7.01
Investment Lorean,Martabano 998369 12500.08 Shares
Checking France,Buzick 427661 47344.19
Investment Justine,Ferrario 798293 64013.23 Property
Investment Adelina,Nabours 681183 57269.54 Shares
Checking Derick,Dhamer 584748 46895.29
Investment Jerry,Dallen 666956 53043.96 Growth
Savings Leota,Ragel 247756 68665.16 3.91
Investment Jutta,Amyot 522669 78399.24 Shares
Checking Aja,Gehrett 754733 98223.47
Savings Kirk,Herritt 199172 29341.98 7.55
Checking Leonora,Mauson 241943 38817.69
Investment Winfred,Brucato 777177 39884.37 Property
Checking Tarra,Nachor 852116 2754.06
Investment Corinne,Loder 491221 39327.12 Shares
Investment Dulce,Labreche 835671 14210.81 Growth
Investment Kate,Keneipp 452638 48077.96 Shares
Checking Kaitlyn,Ogg 493319 73053.83
Investment Sherita,Saras 638654 85271.53 Shares
Savings Lashawnda,Stuer 826978 94603.93 6.28
Investment Ernest,Syrop 327437 61936.74 Shares
Checking Nobuko,Halsey 876682 57194.71
Investment Lavonna,Wolny 477889 19033.16 Property
Savings Lashaunda,Lizama 173818 82405.86 1.07
Savings Mariann,Bilden 715356 73407.68 2.05
Investment Helene,Rodenberger 916824 78419.90 Property
Investment Roselle,Estell 128512 67024.48 Shares
Checking Samira,Heintzman 519743 73493.86
Checking Margart,Meisel 211651 38026.06
Savings Kristofer,Bennick 671994 36724.02 11.38
Investment Weldon,Acuff 562318 6698.54 Shares
Savings Shalon,Shadrick 489845 78410.49 7.22
Savings Denise,Patak 519616 37309.99 11.07
Savings Louvenia,Beech 375633 54222.47 5.63
Checking Audry,Yaw 559856 84220.48
Investment Kristel,Ehmann 723774 43620.22 Growth
Savings Vincenza,Zepp 217717 50165.25 5.06
Savings Elouise,Gwalthney 977111 54368.42 0.96
Savings Venita,Maillard 241582 28995.68 3.78
Investment Kasandra,Semidey 811285 66563.31 Shares
Checking Xochitl,Discipio 352325 8309.43
Investment Maile,Linahan 492349 59481.24 Property
Savings Krissy,Rauser 673613 49899.19 1.68
Investment Pete,Dubaldi 168331 71366.92 Property
Savings Linn,Paa 239735 29095.80 1.57
Savings Paris,Wide 219441 48704.59 9.48
Checking Wynell,Dorshorst 275151 62974.35
Investment Quentin,Birkner 241951 76868.41 Property
Checking Regenia,Kannady 941855 13471.22
Investment Sheron,Louissant 278883 12234.94 Growth
Checking Izetta,Funnell 181892 99086.18
Checking Rodolfo,Butzen 972388 48623.91
Investment Zona,Colla 263714 54164.80 Growth
Investment Serina,Zagen 715985 4238.17 Property
Checking Paz,Sahagun 731141 80944.08
Savings Markus,Lukasik 918236 20646.86 0.64
Savings Jaclyn,Bachman 158742 94283.68 8.04
Investment Cyril,Daufeldt 888671 8616.11 Property
Checking Gayla,Schnitzler 343772 67656.30
Investment Erick,Nievas 216595 14366.82 Growth
Investment Jennie,Drymon 365272 17732.44 Shares
Savings Mitsue,Scipione 114743 84156.10 4.13
Savings Ciara,Ventura 557231 31486.96 10.22
Checking Galen,Cantres 773937 40518.11
Checking Truman,Feichtner 173863 48324.37
Checking Gail,Kitty 537238 79697.17
Investment Dalene,Schoeneck 867372 34755.42 Property
Checking Gertude,Witten 749515 27500.71
Checking Lizbeth,Kohl 454661 9743.40
Checking Glenn,Berray 513129 54658.56
Savings Lashandra,Klang 498277 85321.91 0.72
Checking Lenna,Newville 482235 28343.92
Checking Laurel,Pagliuca 816317 33463.31
Investment Mireya,Frerking 996786 47196.39 Growth
Savings Annelle,Tagala 434461 98628.15 8.38
Checking Dean,Ketelsen 224585 44010.54
Investment Levi,Munis 374859 82259.66 Shares
Savings Sylvie,Ryser 866766 91317.79 5.58
Checking Sharee,Maile 319513 53659.67
Checking Cordelia,Storment 472339 22653.78
Investment Mollie,Mcdoniel 389255 18862.91 Growth
Savings Brett,Mccullan 678872 18883.42 11.70
Investment Teddy,Pedrozo 242278 71914.26 Shares
Savings Tasia,Andreason 456776 2718.24 9.44
Investment Hubert,Walthall 741133 32359.17 Shares
Checking Arthur,Farrow 316622 29622.81
Savings Vilma,Berlanga 363364 64179.09 7.41
Savings Billye,Miro 192336 25131.20 9.73
Checking Glenna,Slayton 855599 55855.49
Checking Mitzie,Hudnall 871351 64268.32
Savings Bernardine,Rodefer 772298 70686.45 4.49
Checking Staci,Schmaltz 945553 20766.06
Savings Nichelle,Meteer 873789 32847.74 6.08
Investment Janine,Rhoden 424223 50037.65 Shares
Savings Ettie,Hoopengardner 836843 59238.79 9.52
Savings Eden,Jayson 385979 41388.14 8.13
Savings Lynelle,Auber 919714 49513.79 5.29
Savings Merissa,Tomblin 842453 8082.05 0.07
Savings Golda,Kaniecki 981522 61957.69 11.57
Checking Catarina,Gleich 264637 47755.00
Checking Virgie,Kiel 794494 87822.48
Investment Jolene,Ostolaza 175919 8402.63 Property
Checking Keneth,Borgman 324523 21924.94
Checking Rikki,Nayar 133292 70953.91
Checking Elke,Sengbusch 975898 55784.40
Investment Hoa,Sarao 722693 8442.50 Growth
Savings Trinidad,Mcrae 883237 72437.78 1.73
Investment Mari,Lueckenbach 647546 87418.96 Growth
Investment Selma,Husser 272983 20632.25 Property
Investment Antione,Onofrio 254135 48347.50 Property
Checking Luisa,Jurney 182551 38544.00
Savings Clorinda,Heimann 187139 23525.46 11.48
Savings Dick,Wenzinger 712256 62743.26 5.94
Checking Ahmed,Angalich 534419 3514.23
Checking Iluminada,Ohms 933799 17094.74
Savings Joanna,Leinenbach 773994 72536.82 1.63
Checking Caprice,Suell 622274 14084.07
Investment Stephane,Myricks 268283 67131.66 Shares
Investment Quentin,Swayze 813929 59549.83 Property
Savings Annmarie,Castros 112976 28786.82 6.82
Savings Shonda,Greenbush 891388 56879.34 10.28
Investment Cecil,Lapage 747711 61463.66 Shares
Checking Jeanice,Claucherty 442217 77656.66
Checking Josphine,Villanueva 313936 41593.76
Investment Daniel,Perruzza 692636 77769.58 Shares
Investment Cassi,Wildfong 495887 23990.61 Growth
Savings Britt,Galam 566755 66070.49 11.34
Investment Adell,Lipkin 495912 67509.32 Shares
Investment Jacqueline,Rowling 438949 50803.47 Growth
Investment Lonny,Weglarz 624799 8592.71 Shares
Savings Lonna,Diestel 956435 3715.37 3.82
Savings Cristal,Samara 795663 91992.54 5.65
Investment Kenneth,Grenet 438223 4967.15 Shares
Savings Elli,Mclaird 571783 69811.86 7.65
Checking Alline,Jeanty 694513 80208.41
Savings Sharika,Eanes 823121 92214.44 11.10
Savings Nu,Mcnease 715118 17919.33 11.99
Checking Daniela,Comnick 916332 31431.63
Investment Cecilia,Colaizzo 663857 57786.34 Growth
Savings Leslie,Threets 969448 4106.31 11.70
Checking Nan,Koppinger 563885 8556.25
Investment Izetta,Dewar 821459 83546.45 Shares
Savings Tegan,Arceo 164765 20512.56 5.20
Savings Ruthann,Keener 968846 89904.08 10.98
Savings Joni,Breland 977534 96678.36 4.69
Savings Vi,Rentfro 972293 66971.28 0.58
Savings Colette,Kardas 763138 52194.73 10.33
Investment Malcolm,Tromblay 199325 46721.63 Property
Investment Ryan,Harnos 266798 88581.69 Shares
Checking Jess,Chaffins 514736 58734.90
Checking Sharen,Bourbon 491677 77917.76
Checking Nickolas,Juvera 222616 94956.17
Savings Gary,Nunlee 834745 23892.78 6.69
Investment Diane,Devreese 418122 37545.87 Property
Checking Roslyn,Chavous 266796 34518.45
Investment Glory,Schieler 918849 7621.79 Shares
Investment Rasheeda,Sayaphon 117534 85813.62 Property
Checking Alpha,Palaia 982478 46200.04
Investment Refugia,Jacobos 179271 21907.27 Property
Checking Shawnda,Yori 886339 99940.88
Savings Mona,Delasancha 987751 80245.98 6.95
Checking Gilma,Liukko 152592 70937.02
Savings Janey,Gabisi 618156 4384.66 11.43
Investment Lili,Paskin 617236 95335.68 Growth
Checking Loren,Asar 389859 6097.33
Checking Dorothy,Chesterfield 992793 82848.51
Savings Gail,Similton 517465 13422.52 11.85
Investment Catalina,Tillotson 786633 12124.14 Shares
Checking Lawrence,Lorens 157752 14300.23
Savings Carlee,Boulter 438363 69225.19 6.69
Checking Thaddeus,Ankeny 559319 99907.29
Investment Jovita,Oles 384952 10432.75 Growth
Checking Alesia,Hixenbaugh 379661 15691.31
Checking Lai,Harabedian 178176 93381.99
Checking Brittni,Gillaspie 781741 29384.16
Savings Raylene,Kampa 883228 3902.02 7.85
Investment Flo,Bookamer 129855 8812.16 Shares
Checking Jani,Biddy 833783 11001.66
Checking Chauncey,Motley 144152 32364.91
